0136 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0137 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0138 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0139 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0140 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0141 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0142 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0143 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0144 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0145 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0146 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0147 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0148 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0149 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0150 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0151 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0152 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0153 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0154 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0155 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0156 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0157 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0158 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0159 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0160 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0161 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0162 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0163 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0164 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0165 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0166 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0167 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0168 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0169 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0170 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0171 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0172 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0173 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0174 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0175 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0176 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0177 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
