Frame 67 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 67 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 67 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 68 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 68 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 68 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 69 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 69 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 69 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 70 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 70 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 70 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 71 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 71 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 71 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 72 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 72 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 72 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 73 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 73 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 73 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 74 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 74 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 74 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 75 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 75 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 75 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 76 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 76 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 76 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 77 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 77 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 77 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 78 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 78 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 78 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 79 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 79 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 79 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 80 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 80 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 80 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 81 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 81 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 81 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 82 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 82 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 82 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 83 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
